Fold_Number,Accuracy,F1_Score,Recall,Precision
Fold.1,0.9308390022675737,0.9344790547798068,1.0,0.8770161290322581
Fold.2,0.9240362811791383,0.9280343716433942,1.0,0.8657314629258517
