Fold_Number,Accuracy,F1_Score,Recall,Precision
Fold.1,0.9005847953216374,0.8982035928143712,0.9493670886075949,0.8522727272727273
Fold.2,0.8947368421052632,0.8888888888888891,0.972972972972973,0.8181818181818182
Fold.3,0.9239766081871345,0.912751677852349,0.9315068493150684,0.8947368421052632
Fold.4,0.8713450292397661,0.8571428571428571,0.9166666666666666,0.8048780487804879
Fold.5,0.9058823529411765,0.9111111111111111,0.9761904761904762,0.8541666666666666
Fold.6,0.8352941176470589,0.8292682926829269,0.8095238095238095,0.85
Fold.7,0.8941176470588236,0.8941176470588236,0.8941176470588236,0.8941176470588236
Fold.8,0.888235294117647,0.9015544041450777,0.90625,0.8969072164948454
Fold.9,0.8941176470588236,0.9042553191489361,0.9340659340659341,0.8762886597938144
Fold.10,0.8764705882352941,0.874251497005988,0.9012345679012346,0.8488372093023255
