Fold_Number,Accuracy,F1_Score,Recall,Precision
Fold.1,0.9590643274853801,0.9510489510489512,0.9315068493150684,0.9714285714285714
Fold.2,0.935672514619883,0.9417989417989419,0.898989898989899,0.9888888888888889
Fold.3,0.9415204678362573,0.9375,0.8928571428571429,0.9868421052631579
Fold.4,0.9122807017543859,0.8818897637795277,0.8115942028985508,0.9655172413793104
Fold.5,0.9411764705882353,0.9404761904761905,0.8977272727272727,0.9875
Fold.6,0.9705882352941176,0.9664429530201343,0.972972972972973,0.96
Fold.7,0.9352941176470588,0.9325153374233129,0.8735632183908046,1.0
Fold.8,0.9470588235294117,0.9411764705882352,0.935064935064935,0.9473684210526315
Fold.9,0.9117647058823529,0.9112426035502958,0.8461538461538461,0.9871794871794872
Fold.10,0.9411764705882353,0.9404761904761905,0.9186046511627907,0.9634146341463414
